City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Guerrero Negro,MX,75.47,Clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
281,Casino,AU,64.78,Rain,-28.8667,153.05,Squatters Homestead Motel
283,Pemberton,CA,62.29,Clear,50.3164,-122.8027,Pemberton Valley Lodge
284,Belmonte,BR,81.64,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
286,Lao Cai,VN,73.49,Clouds,22.4833,103.95,Legend Hotel
287,Lake Charles,US,84.18,Clear,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
288,Klamath Falls,US,64.06,Clear,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
291,Wawa,NG,81.36,Clouds,9.9022,4.4192,
292,Ambanja,MG,72.09,Clouds,-13.6833,48.45,Hotel Salama and Fast Food
295,Luwuk,ID,77.61,Clouds,-0.9516,122.7875,Hotel Santika Luwuk
297,Saint-Denis,FR,65.05,Clear,48.9167,2.3333,ibis budget Paris Porte de Montmartre
299,Rapar,IN,86.23,Clouds,23.5667,70.6333,Dharamshi Bapa’s Home
301,Makakilo City,US,75.43,Clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Jawhar,SO,76.5,Clouds,2.7809,45.5005,Hotel Shabelle
304,Notse,TG,79.09,Rain,6.95,1.1667,Le Berceau
305,La Asuncion,VE,85.73,Clouds,11.0333,-63.8628,Colinas de Matasiete
308,Boyabat,TR,61.21,Clouds,41.4689,34.7667,Kolaz Palas Otel
312,Coffs Harbour,AU,67.96,Rain,-30.3,153.1333,Aquajet Motel
313,Yendi,GH,77.22,Clouds,9.4427,-0.0099,Eyarro Lodge
316,Ilebo,CD,75.27,Rain,-4.3167,20.5833,Hôtel BUMAK
319,Turayf,SA,79.05,Clear,31.6725,38.6637,Al Mudawah Hotel
320,Long Beach,US,81.95,Haze,33.767,-118.1892,The Westin Long Beach
322,Grand Gaube,MU,72.0,Clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
323,Aras,ES,66.61,Clear,42.5617,-2.356,Jardines de Viana Spa
325,Hambantota,LK,79.47,Clouds,6.1241,81.1185,Bungalow 63
327,Qui Nhon,VN,77.61,Clouds,13.7667,109.2333,Seagull Hotel
328,Villeneuve-Sur-Lot,FR,68.05,Clouds,44.5,0.6667,Le Domaine De Beunes
330,Luau,AO,78.84,Clear,-10.7073,22.2247,Kimbo Hotel
332,Dharchula,IN,63.95,Rain,29.85,80.5333,Mahara Hotel
334,Kabinda,CD,71.22,Clouds,-6.1333,24.4833,Village Mianda Mutole
336,Sunrise,US,86.0,Clouds,26.1577,-80.2861,"Holiday Inn Express & Suites Ft. Lauderdale-Plantation, an IHG Hotel"
340,Lagoa,PT,70.5,Clouds,39.05,-27.9833,Casa Das Faias
342,Beyneu,KZ,60.94,Clear,45.3167,55.2,NUR
343,San Felipe,VE,86.14,Clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
346,Paita,PE,71.44,Clouds,-5.0892,-81.1144,Hotel Náutico de Paita
348,San Jose,US,79.92,Haze,37.3394,-121.895,The Westin San Jose
352,Lambarene,GA,77.52,Rain,-0.7001,10.2406,Le Refuge
353,Halifax,CA,61.34,Clouds,44.6453,-63.5724,Hotel Halifax
354,Ixtapa,MX,85.23,Clear,20.7,-105.2,hotel la terminal
357,Sao Joao Da Barra,BR,80.69,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
358,Blackfoot,US,70.54,Clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
359,Numaligarh,IN,73.76,Rain,26.6333,93.75,Mumai Hotel
361,Salalah,OM,77.7,Clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
