City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Beyneu,KZ,45.3167,55.2,60.94,47,6,5.46,Clear
343,San Felipe,VE,10.3399,-68.7425,86.14,66,86,2.82,Clouds
344,Katangli,RU,51.7102,143.2326,32.85,80,94,2.68,Clouds
345,Borivka,UA,50.4564,29.546,50.76,63,5,7.05,Clear
346,Paita,PE,-5.0892,-81.1144,71.44,69,46,13.78,Clouds
347,Esperance,AU,-33.8667,121.9,56.91,48,7,11.18,Clear
348,San Jose,US,37.3394,-121.895,79.92,80,75,0.0,Haze
349,Prince George,CA,53.9166,-122.753,44.04,100,75,5.75,Mist
350,Udachnyy,RU,66.4167,112.4,28.45,92,100,5.23,Clouds
351,Kwinana,AU,-32.25,115.7667,54.81,79,0,6.87,Clear
352,Lambarene,GA,-0.7001,10.2406,77.52,86,72,2.01,Rain
353,Halifax,CA,44.6453,-63.5724,61.34,79,99,14.97,Clouds
354,Ixtapa,MX,20.7,-105.2,85.23,61,0,4.61,Clear
355,Parry Sound,CA,45.3501,-80.033,48.25,71,99,16.69,Rain
